emis_variables,met_variables,hour_begin_seq,# of starting poins,MAE_validation,RMSE_validation,Percentage_error_validation,RMSE_test,Date
"['NO', 'NO2']","['WSPD10', 'TEMP2']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0027685622,0.0036920023,0.1497262,0.0042489786,2020-11-15 20:11:53
"['NO', 'NO2']","['WSPD10', 'TEMP2']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002926908,0.0035049245,0.13271406,0.003887848,2020-11-15 20:14:22
"['NO', 'NO2']","['WSPD10', 'TEMP2']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0017904533,0.0024196994,0.09363415,0.004243306,2020-11-15 20:16:51
"['NO', 'NO2']","['WSPD10', 'TEMP2']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0016611752,0.0022545229,0.08657259,0.004793428,2020-11-15 20:19:26
"['NO', 'NO2']","['WSPD10', 'TEMP2']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0026288696,0.003366293,0.13916034,0.0045544137,2020-11-15 20:22:01
"['NO', 'NO2']","['WSPD10', 'TEMP2']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0021702102,0.003055321,0.1283174,0.005723053,2020-11-15 20:24:37
"['NO', 'NO2']","['WSPD10', 'TEMP2']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002637333,0.0035891389,0.14081396,0.004051343,2020-11-15 20:27:18
"['NO', 'NO2']","['WSPD10', 'TEMP2']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0034666625,0.0044800746,0.18434307,0.0037065244,2020-11-15 20:30:00
"['NO', 'NO2']","['WSPD10', 'TEMP2']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0026601313,0.0035652933,0.1375425,0.005613954,2020-11-15 20:32:39
"['NO', 'NO2']","['WSPD10', 'TEMP2']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.00328756,0.003924927,0.15827851,0.005214468,2020-11-15 20:35:24
"['NO', 'NO2', 'VOC_INV']","['WSPD10', 'TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0026662275,0.0035360062,0.14339991,0.004652961,2020-11-15 20:57:32
"['NO', 'NO2', 'VOC_INV']","['WSPD10', 'TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0025597797,0.003337113,0.12635987,0.004555215,2020-11-15 21:01:11
"['NO', 'NO2', 'VOC_INV']","['WSPD10', 'TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0023935735,0.003061027,0.11845135,0.0053364416,2020-11-15 21:04:45
"['NO', 'NO2', 'VOC_INV']","['WSPD10', 'TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0020780135,0.0026289688,0.10095113,0.0074762753,2020-11-15 21:08:34
"['NO', 'NO2', 'VOC_INV']","['WSPD10', 'TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0027154072,0.0033099924,0.13683291,0.006594447,2020-11-15 21:12:16
"['NO', 'NO2', 'VOC_INV']","['WSPD10', 'TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002016799,0.0026829788,0.112679765,0.0062913797,2020-11-15 21:16:03
"['NO', 'NO2', 'VOC_INV']","['WSPD10', 'TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0025684095,0.003391372,0.1330549,0.00519279,2020-11-15 21:19:41
"['NO', 'NO2', 'VOC_INV']","['WSPD10', 'TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0029383427,0.0039079264,0.16080071,0.0045606247,2020-11-15 21:23:30
"['NO', 'NO2', 'VOC_INV']","['WSPD10', 'TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0022644785,0.0030467103,0.117536515,0.0056107515,2020-11-15 21:27:18
"['NO', 'NO2', 'VOC_INV']","['WSPD10', 'TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0033846688,0.0039963,0.16115673,0.0057551237,2020-11-15 21:31:04
"['NO2', 'VOC_INV']","['TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002549822,0.0035169509,0.14262713,0.0046403143,2020-11-15 21:45:20
"['NO2', 'VOC_INV']","['TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0029270898,0.003454063,0.13078819,0.0066678333,2020-11-15 21:48:01
"['NO2', 'VOC_INV']","['TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0020650304,0.0026995167,0.104462124,0.0061050197,2020-11-15 21:50:39
"['NO2', 'VOC_INV']","['TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0017782819,0.0021855326,0.08392339,0.006786302,2020-11-15 21:53:21
"['NO2', 'VOC_INV']","['TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0025105036,0.003277734,0.13549936,0.005277888,2020-11-15 21:56:02
"['NO2', 'VOC_INV']","['TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0020770812,0.0029266537,0.12291363,0.006804409,2020-11-15 21:58:47
"['NO2', 'VOC_INV']","['TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0025714848,0.0032212299,0.12637965,0.0064002415,2020-11-15 22:01:36
"['NO2', 'VOC_INV']","['TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0033082874,0.004285652,0.17634311,0.005576166,2020-11-15 22:04:22
"['NO2', 'VOC_INV']","['TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0022889734,0.003019262,0.116477616,0.005071531,2020-11-15 22:07:06
"['NO2', 'VOC_INV']","['TEMP2', 'RN']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.003270596,0.003982536,0.16060168,0.0068256767,2020-11-15 22:10:18
